precision,recall,sensitivity,specificity,accuracy,f1,tp,tn,fp,fn,threshold
0.36363636363636365,0.946236559139785,0.946236559139785,0.9490235021516055,0.9489402697495183,0.5253731343283582,88,2867,154,5,0.7000000000000001
0.37130801687763715,0.946236559139785,0.946236559139785,0.9506785832505793,0.9505459216441875,0.5333333333333334,88,2872,149,5,0.7100000000000001
0.3776824034334764,0.946236559139785,0.946236559139785,0.9520026481297583,0.9518304431599229,0.5398773006134969,88,2876,145,5,0.72
0.38095238095238093,0.946236559139785,0.946236559139785,0.9526646805693479,0.9524727039177906,0.5432098765432098,88,2878,143,5,0.73
0.3815789473684211,0.9354838709677419,0.9354838709677419,0.9533267130089375,0.9527938342967245,0.5420560747663552,87,2880,141,6,0.74
0.39545454545454545,0.9354838709677419,0.9354838709677419,0.9559748427672956,0.9553628773281952,0.5559105431309904,87,2888,133,6,0.75
0.4009216589861751,0.9354838709677419,0.9354838709677419,0.9569678914266799,0.9563262684649968,0.5612903225806452,87,2891,130,6,0.76
0.39814814814814814,0.9247311827956989,0.9247311827956989,0.9569678914266799,0.9560051380860629,0.5566343042071198,86,2891,130,7,0.77
0.40186915887850466,0.9247311827956989,0.9247311827956989,0.9576299238662694,0.9566473988439307,0.5602605863192183,86,2893,128,7,0.78
0.41148325358851673,0.9247311827956989,0.9247311827956989,0.9592850049652433,0.9582530507385999,0.5695364238410596,86,2898,123,7,0.79
0.4195121951219512,0.9247311827956989,0.9247311827956989,0.9606090698444224,0.9595375722543352,0.5771812080536912,86,2902,119,7,0.8
0.43,0.9247311827956989,0.9247311827956989,0.9622641509433962,0.9611432241490045,0.5870307167235495,86,2907,114,7,0.81
0.4365482233502538,0.9247311827956989,0.9247311827956989,0.9632571996027806,0.962106615285806,0.593103448275862,86,2910,111,7,0.8200000000000001
0.44559585492227977,0.9247311827956989,0.9247311827956989,0.9645812644819596,0.9633911368015414,0.6013986013986014,86,2914,107,7,0.8300000000000001
0.4521276595744681,0.9139784946236559,0.9139784946236559,0.9659053293611387,0.964354527938343,0.604982206405694,85,2918,103,8,0.8400000000000001
0.45454545454545453,0.9139784946236559,0.9139784946236559,0.9662363455809335,0.9646756583172769,0.6071428571428571,85,2919,102,8,0.85
0.4594594594594595,0.9139784946236559,0.9139784946236559,0.966898378020523,0.9653179190751445,0.6115107913669064,85,2921,100,8,0.86
0.46153846153846156,0.9032258064516129,0.9032258064516129,0.9675604104601125,0.9656390494540783,0.6109090909090908,84,2923,98,9,0.87
0.47191011235955055,0.9032258064516129,0.9032258064516129,0.9688844753392917,0.9669235709698137,0.6199261992619927,84,2927,94,9,0.88
0.48255813953488375,0.8924731182795699,0.8924731182795699,0.9705395564382655,0.9682080924855492,0.6264150943396226,83,2932,89,10,0.89
0.5123456790123457,0.8924731182795699,0.8924731182795699,0.9738497186362132,0.9714193962748876,0.6509803921568628,83,2942,79,10,0.9
0.5189873417721519,0.8817204301075269,0.8817204301075269,0.9748427672955975,0.9720616570327553,0.6533864541832669,82,2945,76,11,0.91
0.5324675324675324,0.8817204301075269,0.8817204301075269,0.9761668321747765,0.9733461785484907,0.6639676113360323,82,2949,72,11,0.92
0.54421768707483,0.8602150537634409,0.8602150537634409,0.9778219132737505,0.9743095696852923,0.6666666666666667,80,2954,67,13,0.93
0.5555555555555556,0.8602150537634409,0.8602150537634409,0.9788149619331348,0.9752729608220938,0.6751054852320676,80,2957,64,13,0.9400000000000001
0.582089552238806,0.8387096774193549,0.8387096774193549,0.9814630916914929,0.9771997430956969,0.6872246696035242,78,2965,56,15,0.9500000000000001
0.5905511811023622,0.8064516129032258,0.8064516129032258,0.982787156570672,0.9775208734746307,0.6818181818181817,75,2969,52,18,0.9600000000000001
0.6434782608695652,0.7956989247311828,0.7956989247311828,0.9864283349884144,0.9807321772639692,0.7115384615384613,74,2980,41,19,0.97
0.6836734693877551,0.7204301075268817,0.7204301075268817,0.9897384971863621,0.9816955684007708,0.7015706806282722,67,2990,31,26,0.98
0.7439024390243902,0.6559139784946236,0.6559139784946236,0.9930486593843099,0.9829800899165061,0.6971428571428571,61,3000,21,32,0.99
